,TotalRespondents,WorkedOnPython,PctWorkedOnPython
United States,20949,10083,48.13
India,9061,3105,34.27
Germany,5866,2451,41.78
United Kingdom,5737,2384,41.55
Canada,3395,1558,45.89
France,2391,1054,44.08
Brazil,1948,767,39.37
Poland,1922,751,39.07
Australia,1903,790,41.51
Netherlands,1852,767,41.41
Russian Federation,1694,708,41.79
Spain,1604,641,39.96
Italy,1576,625,39.66
Sweden,1274,496,38.93
Switzerland,978,460,47.03
Israel,952,457,48.0
Turkey,949,371,39.09
Pakistan,923,251,27.19
Ukraine,868,246,28.34
Austria,839,338,40.29
Czech Republic,764,285,37.3
Romania,760,253,33.29
Iran,738,268,36.31
Belgium,727,296,40.72
China,664,297,44.73
Bulgaria,659,181,27.47
Mexico,642,245,38.16
South Africa,627,202,32.22
Denmark,617,246,39.87
Bangladesh,605,204,33.72
Norway,574,232,40.42
Greece,556,226,40.65
Argentina,553,191,34.54
Finland,546,266,48.72
Portugal,525,182,34.67
New Zealand,524,236,45.04
Nigeria,522,152,29.12
Hungary,513,191,37.23
Indonesia,507,148,29.19
Ireland,501,209,41.72
Serbia,402,117,29.1
Japan,391,182,46.55
Philippines,381,117,30.71
Sri Lanka,372,137,36.83
Egypt,323,111,34.37
Colombia,313,108,34.5
Singapore,303,139,45.87
Malaysia,299,95,31.77
Slovenia,298,119,39.93
Croatia,260,87,33.46
Slovakia,260,101,38.85
Kenya,249,120,48.19
Lithuania,248,79,31.85
Nepal,237,101,42.62
Viet Nam,231,78,33.77
Thailand,214,92,42.99
Chile,206,102,49.51
Belarus,202,69,34.16
Estonia,195,82,42.05
Hong Kong (S.A.R.),188,88,46.81
Taiwan,187,88,47.06
South Korea,160,80,50.0
United Arab Emirates,158,49,31.01
Morocco,155,50,32.26
Latvia,136,39,28.68
Other Country (Not Listed Above),136,37,27.21
Algeria,134,40,29.85
Peru,130,47,36.15
Tunisia,130,40,30.77
Lebanon,120,42,35.0
Uruguay,111,36,32.43
Bosnia and Herzegovina,108,29,26.85
Saudi Arabia,98,33,33.67
Dominican Republic,97,21,21.65
"Venezuela, Bolivarian Republic of...",88,28,31.82
Albania,86,23,26.74
Armenia,86,28,32.56
Costa Rica,84,30,35.71
Ghana,84,32,38.1
Ecuador,82,39,47.56
Georgia,80,26,32.5
Uganda,72,47,65.28
Guatemala,67,25,37.31
El Salvador,67,19,28.36
Jordan,65,22,33.85
Malta,65,20,30.77
Kazakhstan,64,15,23.44
Cyprus,64,20,31.25
Luxembourg,61,25,40.98
The former Yugoslav Republic of Macedonia,54,8,14.81
Myanmar,52,9,17.31
Ethiopia,52,20,38.46
Paraguay,52,19,36.54
Cameroon,51,16,31.37
Iceland,49,30,61.22
Azerbaijan,49,17,34.69
Afghanistan,44,8,18.18
Republic of Moldova,43,7,16.28
Sudan,42,16,38.1
Iraq,39,17,43.59
Zimbabwe,39,14,35.9
Uzbekistan,39,14,35.9
Republic of Korea,39,20,51.28
Bolivia,36,11,30.56
C̫te d'Ivoire,34,11,32.35
Panama,33,13,39.39
United Republic of Tanzania,32,15,46.88
Cambodia,30,9,30.0
Cuba,30,16,53.33
Nicaragua,30,10,33.33
Syrian Arab Republic,29,7,24.14
Jamaica,28,8,28.57
Honduras,27,12,44.44
Mauritius,26,8,30.77
Senegal,21,8,38.1
Kuwait,20,6,30.0
Yemen,19,3,15.79
Kyrgyzstan,19,6,31.58
Trinidad and Tobago,19,5,26.32
Bahrain,18,4,22.22
Montenegro,17,8,47.06
Mongolia,17,8,47.06
Madagascar,15,4,26.67
Maldives,13,6,46.15
Qatar,13,5,38.46
Somalia,13,3,23.08
Zambia,12,4,33.33
Rwanda,12,5,41.67
Oman,11,6,54.55
Libyan Arab Jamahiriya,10,2,20.0
Antigua and Barbuda,9,0,0.0
Swaziland,8,2,25.0
Andorra,7,0,0.0
Tajikistan,7,0,0.0
Democratic Republic of the Congo,7,3,42.86
Turkmenistan,7,6,85.71
Mozambique,7,1,14.29
"Congo, Republic of the...",7,4,57.14
Mauritania,7,5,71.43
Fiji,5,1,20.0
Botswana,5,1,20.0
Benin,5,3,60.0
Haiti,5,3,60.0
Namibia,5,3,60.0
Angola,5,2,40.0
Burkina Faso,4,0,0.0
Monaco,4,2,50.0
Togo,4,1,25.0
Bahamas,3,2,66.67
Democratic People's Republic of Korea,3,1,33.33
Lao People's Democratic Republic,3,0,0.0
Cape Verde,3,0,0.0
Lesotho,3,1,33.33
Barbados,3,1,33.33
Guinea,3,2,66.67
Belize,3,1,33.33
Burundi,3,1,33.33
Liechtenstein,3,1,33.33
Mali,3,1,33.33
Guyana,3,2,66.67
Liberia,2,0,0.0
Seychelles,2,1,50.0
Bhutan,2,1,50.0
Gabon,2,0,0.0
Sierra Leone,2,1,50.0
Djibouti,2,0,0.0
San Marino,2,1,50.0
Malawi,2,0,0.0
Tonga,1,0,0.0
Saint Kitts and Nevis,1,0,0.0
Sao Tome and Principe,1,1,100.0
Dominica,1,1,100.0
Timor-Leste,1,1,100.0
Papua New Guinea,1,0,0.0
North Korea,1,0,0.0
Saint Vincent and the Grenadines,1,0,0.0
Niger,1,1,100.0
Chad,1,0,0.0
Brunei Darussalam,1,0,0.0
